"","sample_name","cluster_color","cluster_order","cluster_label","class_color","class_order","class_label","subclass_color","subclass_order","subclass_label","full_genotype_label","donor_sex_label","region_label","cortical_layer_label","cell_type_accession_label","external_donor_name_label"
"F2S4_160113_029_A01","F2S4_160113_029_A01","#F1869C",10,"Inh L1 PAX6 GRIP2","#0066FF",4,"GABAergic","#CC683D",2,"PAX6",NA,"M","MTG","L1","CS1910121010","H200.1025"
"F2S4_160113_039_C01","F2S4_160113_039_C01","#520DBB",90,"Exc L5-6 THEMIS GPR21","#AFCC3D",2,"Glutamatergic","#00CC14",8,"L5/6 IT Car3",NA,"M","MTG","L5","CS1910121090","H200.1025"
"F2S4_160113_040_H01","F2S4_160113_040_H01","#2E3E39",114,"OPC L1-6 MYT1","#17994B",3,"Non-neuronal","#3D4BCC",14,"OPC",NA,"M","MTG","L5","CS1910121114","H200.1025"
"F2S4_160113_033_E01","F2S4_160113_033_E01","#F1869C",10,"Inh L1 PAX6 GRIP2","#0066FF",4,"GABAergic","#CC683D",2,"PAX6",NA,"M","MTG","L1","CS1910121010","H200.1025"
"F2S4_160113_035_D01","F2S4_160113_035_D01","#F1849C",13,"Inh L1 VIP PRSS8","#0066FF",4,"GABAergic","#996517",3,"VIP",NA,"M","MTG","L1","CS1910121013","H200.1025"
"F2S4_160113_047_H01","F2S4_160113_047_H01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"M","MTG","L5","CS1910121111","H200.1025"
"F2S4_160113_050_F01","F2S4_160113_050_F01","#3CAD5F",108,"Exc L5-6 FEZF2 CYP26B1","#AFCC3D",2,"Glutamatergic","#006B99",12,"L5/6 NP",NA,"M","MTG","L5","CS1910121108","H200.1025"
"F2S4_160113_058_C01","F2S4_160113_058_C01","#996A0E",41,"Inh L4-6 SST MTHFD2P6","#0066FF",4,"GABAergic","#FFE500",4,"SST",NA,"M","MTG","L5","CS1910121041","H200.1025"
"F2S4_160113_060_E01","F2S4_160113_060_E01","#936052",6,"Inh L5-6 LAMP5 SFTA3","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"M","MTG","L5","CS1910121006","H200.1025"
"F2S4_160113_061_H01","F2S4_160113_061_H01","#71AF9A",116,"Oligo L4-6 OPALIN","#17994B",3,"Non-neuronal","#311799",15,"Oligodendrocyte",NA,"M","MTG","L5","CS1910121116","H200.1025"
"F2S4_160421_023_A01","F2S4_160421_023_A01","#0A75B1",104,"Exc L5 FEZF2 SCN7A","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"M","MTG","L5","CS1910121104","H200.1030"
"F2S4_160421_023_H01","F2S4_160421_023_H01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"M","MTG","L5","CS1910121111","H200.1030"
"F2S4_160421_025_B01","F2S4_160421_025_B01","#3DAD5E",107,"Exc L5-6 FEZF2 MYBPHL","#AFCC3D",2,"Glutamatergic","#006B99",12,"L5/6 NP",NA,"M","MTG","L5","CS1910121107","H200.1030"
"F2S4_160421_026_F01","F2S4_160421_026_F01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"M","MTG","L5","CS1910121098","H200.1030"
"F2S4_160421_027_E01","F2S4_160421_027_E01","#3CAD5F",108,"Exc L5-6 FEZF2 CYP26B1","#AFCC3D",2,"Glutamatergic","#006B99",12,"L5/6 NP",NA,"M","MTG","L5","CS1910121108","H200.1030"
"F2S4_160421_029_C01","F2S4_160421_029_C01","#936052",6,"Inh L5-6 LAMP5 SFTA3","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"M","MTG","L5","CS1910121006","H200.1030"
"F2S4_160421_034_A01","F2S4_160421_034_A01","#60958B",84,"Exc L4-5 RORB RPL31P31","#AFCC3D",2,"Glutamatergic","#52FF26",7,"IT",NA,"M","MTG","L5","CS1910121084","H200.1030"
"F2S4_160421_034_H01","F2S4_160421_034_H01","#73B29E",115,"Oligo L4-6 MOBP COL18A1","#17994B",3,"Non-neuronal","#311799",15,"Oligodendrocyte",NA,"M","MTG","L5","CS1910121115","H200.1030"
"F2S4_160421_035_A01","F2S4_160421_035_A01","#BFC124",75,"Exc L6 THEMIS LINC00343","#AFCC3D",2,"Glutamatergic","#52FF26",7,"IT",NA,"M","MTG","L5","CS1910121075","H200.1030"
"F2S4_160421_035_G01","F2S4_160421_035_G01","#B9814D",7,"Inh L1-2 PAX6 SCGN","#0066FF",4,"GABAergic","#CC683D",2,"PAX6",NA,"M","MTG","L5","CS1910121007","H200.1030"
"F2S4_160421_036_F01","F2S4_160421_036_F01","#56C3B7",86,"Exc L5 RORB SNHG7","#AFCC3D",2,"Glutamatergic","#52FF26",7,"IT",NA,"M","MTG","L5","CS1910121086","H200.1030"
"F2S4_160421_042_B01","F2S4_160421_042_B01","#55C3B4",82,"Exc L5 RORB LINC01202","#AFCC3D",2,"Glutamatergic","#52FF26",7,"IT",NA,"M","MTG","L5","CS1910121082","H200.1030"
"F1S4_160106_005_D01","F1S4_160106_005_D01","#520DBB",90,"Exc L5-6 THEMIS GPR21","#AFCC3D",2,"Glutamatergic","#00CC14",8,"L5/6 IT Car3",NA,"M","MTG","L5","CS1910121090","H200.1030"
"F1S4_160106_009_F01","F1S4_160106_009_F01","#3CAD5F",108,"Exc L5-6 FEZF2 CYP26B1","#AFCC3D",2,"Glutamatergic","#006B99",12,"L5/6 NP",NA,"M","MTG","L5","CS1910121108","H200.1030"
"F1S4_160317_011_A01","F1S4_160317_011_A01","#5494B3",94,"Exc L6 FEZF2 FAM95C","#AFCC3D",2,"Glutamatergic","#459967",9,"L6 CT",NA,"M","MTG","L5","CS1910121094","H200.1025"
"F2S4_160421_044_B01","F2S4_160421_044_B01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"M","MTG","L5","CS1910121098","H200.1030"
"F2S4_160421_045_C01","F2S4_160421_045_C01","#0A75B1",104,"Exc L5 FEZF2 SCN7A","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"M","MTG","L5","CS1910121104","H200.1030"
"F2S4_160421_048_H01","F2S4_160421_048_H01","#8BA38D",120,"Micro L1-6 C1QC","#17994B",3,"Non-neuronal","#FF26A8",19,"Microglia",NA,"M","MTG","L5","CS1910121120","H200.1030"
"F2S4_160421_049_B01","F2S4_160421_049_B01","#3DAD5E",107,"Exc L5-6 FEZF2 MYBPHL","#AFCC3D",2,"Glutamatergic","#006B99",12,"L5/6 NP",NA,"M","MTG","L5","CS1910121107","H200.1030"
"F2S4_160421_052_D01","F2S4_160421_052_D01","#510BBB",89,"Exc L6 THEMIS C6orf48","#AFCC3D",2,"Glutamatergic","#00CC14",8,"L5/6 IT Car3",NA,"M","MTG","L5","CS1910121089","H200.1030"
"F2S4_160421_053_C01","F2S4_160421_053_C01","#5494B3",94,"Exc L6 FEZF2 FAM95C","#AFCC3D",2,"Glutamatergic","#459967",9,"L6 CT",NA,"M","MTG","L5","CS1910121094","H200.1030"
"F2S4_160421_055_H01","F2S4_160421_055_H01","#2E3E39",114,"OPC L1-6 MYT1","#17994B",3,"Non-neuronal","#3D4BCC",14,"OPC",NA,"M","MTG","L5","CS1910121114","H200.1030"
"F2S4_160421_067_F01","F2S4_160421_067_F01","#0A75B1",104,"Exc L5 FEZF2 SCN7A","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"M","MTG","L5","CS1910121104","H200.1030"
