gene_symbol,feature_is_filtered,feature_name,feature_reference,feature_biotype
ENSG00000000003,FALSE,TSPAN6,NCBITaxon:9606,gene
ENSG00000000005,FALSE,TNMD,NCBITaxon:9606,gene
ENSG00000000419,FALSE,DPM1,NCBITaxon:9606,gene
ENSG00000000457,FALSE,SCYL3,NCBITaxon:9606,gene
ENSG00000000460,FALSE,C1orf112,NCBITaxon:9606,gene
ENSG00000000938,FALSE,FGR,NCBITaxon:9606,gene
ENSG00000000971,FALSE,CFH,NCBITaxon:9606,gene
ENSG00000001036,FALSE,FUCA2,NCBITaxon:9606,gene
ENSG00000001084,FALSE,GCLC,NCBITaxon:9606,gene
ENSG00000001167,FALSE,NFYA,NCBITaxon:9606,gene
ENSG00000001460,FALSE,STPG1,NCBITaxon:9606,gene
ENSG00000001461,FALSE,NIPAL3,NCBITaxon:9606,gene
ENSG00000001497,FALSE,LAS1L,NCBITaxon:9606,gene
ENSG00000001561,FALSE,ENPP4,NCBITaxon:9606,gene
ENSG00000001617,FALSE,SEMA3F,NCBITaxon:9606,gene
ENSG00000001626,FALSE,CFTR,NCBITaxon:9606,gene
ENSG00000001629,FALSE,ANKIB1,NCBITaxon:9606,gene
ENSG00000001630,FALSE,CYP51A1,NCBITaxon:9606,gene
ENSG00000001631,FALSE,KRIT1,NCBITaxon:9606,gene
ENSG00000002016,FALSE,RAD52,NCBITaxon:9606,gene
ENSG00000002330,FALSE,BAD,NCBITaxon:9606,gene
ENSG00000002549,FALSE,LAP3,NCBITaxon:9606,gene
ENSG00000002586,FALSE,CD99,NCBITaxon:9606,gene
ENSG00000002587,FALSE,HS3ST1,NCBITaxon:9606,gene
ENSG00000002726,FALSE,AOC1,NCBITaxon:9606,gene
ENSG00000002745,FALSE,WNT16,NCBITaxon:9606,gene
ENSG00000002746,FALSE,HECW1,NCBITaxon:9606,gene
ENSG00000002822,FALSE,MAD1L1,NCBITaxon:9606,gene
ENSG00000002834,FALSE,LASP1,NCBITaxon:9606,gene
ENSG00000002919,FALSE,SNX11,NCBITaxon:9606,gene
ENSG00000002933,FALSE,TMEM176A,NCBITaxon:9606,gene
ENSG00000003056,FALSE,M6PR,NCBITaxon:9606,gene
ENSG00000003096,FALSE,KLHL13,NCBITaxon:9606,gene
ENSG00000003137,FALSE,CYP26B1,NCBITaxon:9606,gene
ENSG00000003147,FALSE,ICA1,NCBITaxon:9606,gene
ENSG00000003249,FALSE,DBNDD1,NCBITaxon:9606,gene
ENSG00000003393,FALSE,ALS2,NCBITaxon:9606,gene
ENSG00000003400,FALSE,CASP10,NCBITaxon:9606,gene
ENSG00000003402,FALSE,CFLAR,NCBITaxon:9606,gene
ENSG00000003436,FALSE,TFPI,NCBITaxon:9606,gene
ENSG00000003509,FALSE,NDUFAF7,NCBITaxon:9606,gene
ENSG00000003756,FALSE,RBM5,NCBITaxon:9606,gene
